ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-00136,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.179857896324807,100.56499240507543",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00137,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.178586187502559,100.56182380392544",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00138,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.181683708223503,100.5649272722335",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00139,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.176879156447916,100.56761343061534",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00140,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.17682346952752,100.56397946679705",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00141,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.179706712194971,100.57016928138722",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00142,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.176070741898856,100.5314096643103",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00143,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.176070741898856,100.5314096643103",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00144,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.177405730190296,100.53467160041407",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00145,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.179382778192597,100.53152771263393",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00146,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.172967758455217,100.53763625600853",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00147,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.170937815029497,100.53302289069114",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00148,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.177190089850683,100.5374223288775",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00149,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.177103735149235,100.52292224566523",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00150,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.174535986691751,100.51927377833718",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00151,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.17923445390694,100.52649714702578",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00152,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.178226629555223,100.52000272074902",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00153,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.175085599107494,100.52472858091056",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00154,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.1793242853874,100.52676664146746",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00155,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.182489900789061,100.5403093996716",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00156,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.18074348482396,100.53571313495334",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00157,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.186455689778237,100.53785127041978",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00158,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.187049797210303,100.53503114217366",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00159,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.17933674999097,100.54182389515667",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00160,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.178199016771165,100.53782679267232",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00161,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.18327633768342,100.5413030509949",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00162,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.183492953452884,100.53119203496276",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00163,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.184628139677827,100.52627603305274",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00164,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.186902163603975,100.5321729411285",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00165,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.180773072997576,100.53019664765331",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00166,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.182042736869818,100.52986911546404",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00167,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.185914017318018,100.53127462632291",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00168,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.16863603140858,100.53387974015266",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00169,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.172338938091533,100.53906056988951",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00170,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.169115521464123,100.53370007719694",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00171,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.164174787336524,100.53630519193106",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00172,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.169468415016787,100.53909192025603",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00173,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.166033013312905,100.52470218475806",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
EXT-00174,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.171678951722239,100.52555433196703",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.963Z,,0,0,2025-11-20T21:01:31.521009
