ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-01120,{น้ำท่วม},Bangkok Flood Report,ถนนพหลโยธิน แยกสะพานควาย – ซอยอารีย์ | รายละเอียด: ,,,"13.7808466,100.5449982",ถนนพหลโยธิน แยกสะพานควาย – ซอยอารีย์,,พญาไท,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01121,{น้ำท่วม},Bangkok Flood Report,ถนนประดิพัทธ์ แยกสะพานควาย | รายละเอียด: ,,,"13.78978634,100.5482864",ถนนประดิพัทธ์ แยกสะพานควาย,,พญาไท,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01122,{น้ำท่วม},Bangkok Flood Report,ถนนวิภาวดีรังสิต บริเวณหน้ากรมทหารราบที่ 1 มหาดเล็กรักษาพระองค์ | รายละเอียด: ,,,"13.77432537,100.5535355",ถนนวิภาวดีรังสิต บริเวณหน้ากรมทหารราบที่ 1 มหาดเล็กรักษาพระองค์,,พญาไท,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01123,{น้ำท่วม},Bangkok Flood Report,ถนนพระรามที่ 6 ช่วงลงทางด่วน | รายละเอียด: ,,,"13.78473473,100.5348587",ถนนพระรามที่ 6 ช่วงลงทางด่วน,,พญาไท,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01124,{น้ำท่วม},Bangkok Flood Report,ถนนพหลโยธิน จากคลองสามเสน ถึงคลองบางซื่อ | รายละเอียด: ,,,"13.7811842,100.5450745",ถนนพหลโยธิน จากคลองสามเสน ถึงคลองบางซื่อ,,พญาไท,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01125,{น้ำท่วม},Bangkok Flood Report,ถนนอินทรพิทักษ์ จุดกลับรถใต้สะพานเนาวจำเนียร | รายละเอียด: ,,,"13.72738457,100.4858932",ถนนอินทรพิทักษ์ จุดกลับรถใต้สะพานเนาวจำเนียร,,ธนบุรี,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01126,{น้ำท่วม},Bangkok Flood Report,ถนนเพชรเกษม จุดกลับรถใต้สะพานเนาวจำเนียร | รายละเอียด: ,,,"13.72776031,100.4851532",ถนนเพชรเกษม จุดกลับรถใต้สะพานเนาวจำเนียร,,บางกอกใหญ่,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01127,{น้ำท่วม},Bangkok Flood Report,ถนนเพชรบุรี จากแยกอโศก ถึงคลองบางกะปิ | รายละเอียด: ,,,"13.74865532,100.5662079",ถนนเพชรบุรี จากแยกอโศก ถึงคลองบางกะปิ,,ห้วยขวาง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01128,{น้ำท่วม},Bangkok Flood Report,ถนนประชาอุทิศ ช่วงหน้าสำนักงานเขตห้วยขวาง | รายละเอียด: ,,,"13.77672768,100.5797272",ถนนประชาอุทิศ ช่วงหน้าสำนักงานเขตห้วยขวาง,,ห้วยขวาง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01129,{น้ำท่วม},Bangkok Flood Report,ถนนประชาราษฏร์บำเพ็ญ จากถนนรัชดาภิเษก ถึงสามแยกตัดถนนประชาอุทิศ | รายละเอียด: ,,,"13.77842236,100.5773621",ถนนประชาราษฏร์บำเพ็ญ จากถนนรัชดาภิเษก ถึงสามแยกตัดถนนประชาอุทิศ,,ห้วยขวาง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01130,{น้ำท่วม},Bangkok Flood Report,ถนนสุทธิสารวินิจฉัย ช่วงหน้าโรงพยาบาลโกลเด้นเยียส์  | รายละเอียด: ,,,"13.78969193,100.5773926",ถนนสุทธิสารวินิจฉัย ช่วงหน้าโรงพยาบาลโกลเด้นเยียส์ ,,ห้วยขวาง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01131,{น้ำท่วม},Bangkok Flood Report,ถนนลาดหญ้า ช่วงหน้า PLATFORM (โรบินสันเดิม) | รายละเอียด: ,,,"13.72678947,100.494873",ถนนลาดหญ้า ช่วงหน้า PLATFORM (โรบินสันเดิม),,คลองสาน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01132,{น้ำท่วม},Bangkok Flood Report,ถนนฉิมพลี จากอู่สง่า ถึงถนนบรมราชชนนี | รายละเอียด: ,,,"13.78472614,100.4357758",ถนนฉิมพลี จากอู่สง่า ถึงถนนบรมราชชนนี,,ตลิ่งชัน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01133,{น้ำท่วม},Bangkok Flood Report,ถนนเลียบทางรถไฟสายใต้ฝั่งขาออก บริเวณวงเวียนชัยพฤกษ์ | รายละเอียด: ,,,"13.78752422,100.4613953",ถนนเลียบทางรถไฟสายใต้ฝั่งขาออก บริเวณวงเวียนชัยพฤกษ์,,ตลิ่งชัน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,อยู่ระหว่างดำเนินการแก้ไข,0,0,2025-11-23T22:42:47.328010
EXT-01134,{น้ำท่วม},Bangkok Flood Report,ถนนอิสรภาพ จากหน้าตลาดพรานนก ถึงซอยอิสรภาพ 44 | รายละเอียด: ,,,"13.75388336,100.4780884",ถนนอิสรภาพ จากหน้าตลาดพรานนก ถึงซอยอิสรภาพ 44,,บางกอกน้อย,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01135,{น้ำท่วม},Bangkok Flood Report,ถนนบางขุนเทียน - ชายทะเล ช่วงจากถนนพระรามที่ 2 ถึงคลองกล้วย | รายละเอียด: ,,,"13.65416431,100.4304886",ถนนบางขุนเทียน - ชายทะเล ช่วงจากถนนพระรามที่ 2 ถึงคลองกล้วย,,บางขุนเทียน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01136,{น้ำท่วม},Bangkok Flood Report,ถนนท่าข้าม ช่วงจากคลองกล้วยถึงซอยท่าข้าม 6/1 | รายละเอียด: ,,,"13.65761089,100.4423599",ถนนท่าข้าม ช่วงจากคลองกล้วยถึงซอยท่าข้าม 6/1,,บางขุนเทียน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01137,{น้ำท่วม},Bangkok Flood Report,ถนนบางกระดี่ ช่วงจากซอยบางกระดี่ 3 ถึง ตลาดกลางบางกระดี่ | รายละเอียด: ,,,"13.62836075,100.4001694",ถนนบางกระดี่ ช่วงจากซอยบางกระดี่ 3 ถึง ตลาดกลางบางกระดี่,,บางขุนเทียน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01138,{น้ำท่วม},Bangkok Flood Report,ถนนบางขุนเทียน จากช่วงตัดรางรถไฟสายมหาชัย 2 ฝั่ง | รายละเอียด: ,,,"13.66617012,100.4283905",ถนนบางขุนเทียน จากช่วงตัดรางรถไฟสายมหาชัย 2 ฝั่ง,,บางขุนเทียน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
