ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-00041,{PM2.5},Air4Thai,สถานี: สำนักงานคณะกรรมการพัฒนาเศรษฐกิจและสังคมแห่งชาติ | PM2.5: - (AQI -) | PM10: 71 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.756281,100.514267","ริมถนนกรุงเกษม เขตป้อมปราบศัตรูพ่าย, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332159,open,0,0,2025-11-23T22:51:54.332160
EXT-00042,{PM2.5},Air4Thai,สถานี: วงเวียนโอเดียน | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.737136,100.512734","ริมถนนตรีมิตร วงเวียนโอเดียน์ เขตสัมพันธวงศ์, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332164,open,0,0,2025-11-23T22:51:54.332164
EXT-00043,{PM2.5},Air4Thai,สถานี: แฟลตทหารบก สามเสน | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.783554,100.5344645","ริมถนนพระราม 6 เขตพญาไท, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332167,open,0,0,2025-11-23T22:51:54.332168
EXT-00044,{PM2.5},Air4Thai,สถานี: สำนักงานเขตวังทองหลาง | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.778981,100.622294","ริมถนนลาดพร้าว ซอยลาดพร้าว 95 เขตวังทองหลาง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332171,open,0,0,2025-11-23T22:51:54.332172
EXT-00045,{PM2.5},Air4Thai,สถานี: สามย่านมิตรทาวน์ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.733136,100.52829","ริมถนนพระรามที่ 4 หน้าสามย่านมิตรทาวน์ เขตปทุมวัน, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332175,open,0,0,2025-11-23T22:51:54.332176
EXT-00046,{PM2.5},Air4Thai,สถานี: ลานบางรักเลิฟลี่ พลาซ่า | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.726136,100.528055","ริมถนนนราธิวาส เขตบางรัก, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332179,open,0,0,2025-11-23T22:51:54.332180
EXT-00047,{PM2.5},Air4Thai,สถานี: สำนักงานเขตสาทร | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.707763,100.526787","แขวงทุ่งวัดดอน เขตสาทร, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332184,open,0,0,2025-11-23T22:51:54.332185
EXT-00048,{PM2.5},Air4Thai,สถานี: ธนาคารกรุงศรีอยุธยา สำนักงานใหญ่ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.679226,100.54687","ริมถนนพระราม 3 เขตยานนาวา, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332188,open,0,0,2025-11-23T22:51:54.332188
EXT-00049,{PM2.5},Air4Thai,สถานี: ริมถนนซอยสุขุมวิท 63 | PM2.5: - (AQI -) | PM10: 48 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.722096,100.584559","ริมถนนซอยสุขุมวิท 63 เขตวัฒนา, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332192,open,0,0,2025-11-23T22:51:54.332192
EXT-00050,{PM2.5},Air4Thai,สถานี: สำนักงานเขตสวนหลวง | PM2.5: - (AQI -) | PM10: 57 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.731051,100.651705","ริมถนนพัฒนาการ เขตสวนหลวง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332195,open,0,0,2025-11-23T22:51:54.332196
EXT-00051,{PM2.5},Air4Thai,สถานี: บิ๊กซี ซุปเปอร์เซ็นเตอร์ บางนา | PM2.5: - (AQI -) | PM10: 58 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.667987,100.635313","ริมถนนบางนา-ตราด เขตบางนา, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332199,open,0,0,2025-11-23T22:51:54.332200
EXT-00052,{PM2.5},Air4Thai,สถานี: มหาวิทยาลัยเกษตรศาสตร์ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.839923,100.575632","ริมถนนพหลโยธิน แยก ม.เกษตรศาสตร์ เขตจตุจักร, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332203,open,0,0,2025-11-23T22:51:54.332203
